ID,Name,First,Last,City,State,Publisher,Subject,Link
86,"The Advance: NAACP Action News",1978,1978,"New York","New York","National Association for the Advancement of Colored People, Greenwich Village Chelsea Branch","National Association for the Advancement of Colored People | Civil rights | Apartheid | Africa",
87,"The Advance",1923,,"New York","New York","Abyssinian Baptist Church","Religion | Abyssinian Baptist Church",
89,"The Advancer: The AOIP Family and Community Reading Newspaper",1984,,"New York","New York","Assault on Illiteracy Program (AOIP)","PS | Literacy | Education",
90,"Adventurers with Jesus",1984,,"Nashville","Tennessee","Duke Ellington Society Chapter","Religion | Duke Ellington Society Chapter | Baptist Church",
92,"Advocacy - Church Community Newspaper",1983,,"Austin","Texas","Henry, Vickie Roberts","Religion",
93,"The Advocate",1905,,"Daytona Beach","Florida","Bethune-Cookman College (Daytona Beach, FL)","Daytona-Cookman Collegiate Institute (Daytona Beach, FL) | Colleges and universities—Students | Bethune-Cookman College (Daytona Beach, FL)",
94,"The Advocate: Human Resources Newsletter",1992,,"New Orleans","Louisiana","Xavier University (New Orleans, LA)","Personnel policy | Human resource management",
96,"Advocate of Freedom",1838,1841,"Brunswick","Maine","Maine Anti-slavery Society","Slavery | Abolitionists",
98,"AFAS Newsletter",1988,,"Chicago","Illinois","Afro-American Studies Librarian’s Section of the Association of College and Research Libraries","Library science | Librarians | African-American studies",
99,"The Affiliate",1993,,"Valley Cottage","New York","Amistad Affiliates, Inc.","History | Amistad schooner",
100,"AFRAM Communique",1985,1990,"New York","New York","Afram Alternative Information Marketing Service","Press | General interest",
101,"AFRAM Drum",1972,1977,"New York","New York","AFRAM Associates, Inc.","Organizations—Directories",
103,"Aframerican News for You",1967,,"Atlanta","Georgia","Student Nonviolent Coordinating Committee","Student Nonviolent Coordinating Committee | Current events",
104,"Aframerican Report",1967,,"Atlanta","Georgia","Student Voice, Inc.","Race relations | Black power",
105,"The Aframerican Woman’s Journal",1940,,"Washington","District of Columbia","National Council of Negro Women","World War II | Women | National Council of Negro Women",
107,"The Africa Fund News",1992,,"New York","New York","Africa Fund","South Africa | Labor | Investments | Civil rights | Africa",
108,"Africa News",1992,,"Chicago","Illinois","Odere, Femi","Africa",
109,"Africa Report",1948,,"New York","New York","Ferrari, Frank E.","Africa",
111,"Africa USA: The Atlantic Bridge",1988,,"Hyattsville","Maryland","Africa USA Organization","Sports | Society | Politics | Jews | Fashion | Caribbean area | Business | Africa",
113,"African Affairs Bulletin",1995,,"Wilberforce","Ohio","Central State University, Center for African Studies","Colleges and universities | Africa",
114,"African Agenda",1972,1977,"Chicago","Illinois","African-American Solidarity Committee","Liberation movements | International relations | Africa",
115,"African American Arts Alliance of Chicago Members Bulletin",1992,,"Chicago","Illinois","African American Arts Alliance of Chicago","Art",
116,"African American Bookselling",1991,,"New York","New York","American Booksellers Association","Book dealers",
117,"African American Catholic Information Update",1994,,"Washington","District of Columbia","Secretariat for African American Catholics","Religion | Catholic Church",
118,"The African American Catholic Tribune",1992,,"Baltimore","Maryland","National Black Catholic Congress","Religion | National Black Catholic Congress | Catholic Church",
120,"African American Family Resource Journal",1994,,"Compton","California","Robinson, Penny I.","Family | Education",
122,"African American Journal",1991,,"Los Angeles","California","African American Journal","Employment",
123,"The African American Literary Review",1993,,"Fort Worth","Texas","Posey, John R.","Books and reading",
124,"African American Literature and Culture Society Newsletter",1996,,"Spartanburg","South Carolina","University of South Carolina-Spartanburg, African American Literature and Culture Society, Department of Literature","Literature | Colleges and universities—Students",
125,"The African American Magazine",1989,,"New Orleans","Louisiana","Tillis, Tyrone","Health | Fashion | Education | Business",
126,"African American Museum Newsletter",1988,1992,"Cleveland","Ohio","African American Museum (Cleveland, OH)","Museums | History",
127,"African American Networker",1995,,"Orlando","Florida","African American Chamber of Commerce of Central Florida","Business | African American Chamber of Commerce of Central Florida",
129,"African American Parents Coalition for Quality Education Newsletter",1991,,"El Centro","California","African American Parents Coalition for Quality Education","Education | Children",
130,"African American Products Teacher’s Quarterly",1990,,"St. Paul","Minnesota","African-American Products","Educational products | Education",
132,"African American Review",1967,,"Terre Haute","Indiana","Indiana State University","Literature",
133,"African American Teachers Forum",1966,,"Brooklyn","New York","African American Teachers Association","Teachers | Education (Secondary) | Education (Primary)",
134,"African American UN Review",1981,,"Dale City","Virginia","Wade, Mary L.","United Nations | Race relations",
135,"African American Voices in: The Academy",1991,,"East Lansing","Michigan","Michigan State University (East Lansing, MI)","Education (Higher) | African-American studies",
137,"African Americanews",1990,,"Detroit","Michigan","Museum of African American History","Museums | Museum of African American History (Detroit, MI) | History | Art",
138,"African Americans on Wheels",1995,,"Washington","District of Columbia","On Wheels, Inc.","Automobiles",
139,"African Arts",1967,,"Los Angeles","California","University of California-Los Angeles, African Studies Center","Current events | Artists | Art galleries | Art",
140,"African Commentary: A Journal of People of African Decent",1989,1991,"Amherst","Massachusetts","Achebe, Chinua","Short stories | Politics | Poetry | History | Caribbean area | Africa",
142,"African Diaspora Studies Newsletter",1984,,"Washington","District of Columbia","Howard University (Washington, DC)","Pan-Africanism | Africa",
144,"African Forum: Quarterly Journal of Contemporary Affairs",1965,1968,"New York","New York","SAC)","Socialism | Politics | Pan-Africanism | History | Art | Africa",
145,"The African Herald",1992,,"Dallas","Texas","Good Hope Enterprises","Sports | Religion | Politics | Music | Economics | Africa",
146,"African Heritage Magazine",1987,,"Albany","Georgia","Ajayi, Rex O.","Religion | Politics | Medicine | History",
147,"African Heritage Magazine",1963,,"New York","New York","African Heritage Publishing Company","Politics | History | Heritage | Art | Africa",
148,"African Heritage Quarterly Journal",1983,,"Washington","District of Columbia","Our Own History Club","Universal Negro Improvement Association | History | Garvey, Marcus",
149,"African Heritage Studies Association Newsletter",1982,,"New York","New York","African Heritage Studies Association","African-American studies",
150,"African Homefront",1993,1996,"Grand Rapids","Michigan","Goke-Pariola, Abiodun","Family | Entertainment",
151,"African Images",1991,1992,"Midlothian","Virginia","Comer Publishing Co. (Midlothian, VA)","History",
152,"The African Intelligencer",1820,1820,"Washington","District of Columbia","Ashmun, J.","Slavery | Repatriation | Africa | Abolitionists",
153,"The African Interpreter",1943,1944,"New York","New York","African Students Association of the United States and Canada","Colleges and universities | Afro-Canadians | Africans in the United States | African Students Association of the United States and Canada | Africa",
154,"The African Israelite",1956,,"New York","New York","Long, Chakwal M.","Judaism",
156,"African Link",1989,,"West Lafayette","Indiana","African Link, Inc.","Politics | International relations | Africa",
157,"The African Market",1991,,"Upper Marlboro","Maryland","African Marketing Services","Marketing | Business | Africans in the United States",
158,"African Mirror",1977,1980,"New York","New York","African Mirror, Inc.","Economics | Culture | Business | Africa",
159,"African Newbreed",1990,,"Chicago","Illinois","Newbreed Communications, Inc.","Caribbean area | Art | Africa",
161,"African News Watch",1996,,"Richardson","Texas","CyberComp","Africans in the United States",
162,"African News Weekly",1990,,"Charlotte","North Carolina","Innovative Design Concepts","Africa",
163,"The African Newsletter",1953,,"Washington","District of Columbia","All African Student Union of the Americas","Colleges and universities | All African Student Union of the Americas",
166,"African Opinion",1949,1976,"New York","New York","African Picture & Information Service","Africa",
168,"African Profiles USA",1992,,"New York","New York","TPA Communications, Inc.","African diaspora | Africa",
169,"African Repository",1825,1892,"Washington","District of Columbia","American Colonization Society","Slavery | Repatriation | Africa",
170,"The African Spirit",1989,,"New York","New York","American Student Services","Colleges and universities—Students",
171,"African Studies and Research Program Newsletter",1971,,"Washington","District of Columbia","Howard University, African Studies and Research Program","Short stories | Poetry | Howard University, African Studies and Research Program | Howard University | Colleges and universities | African-American studies | African Studies and Research Program Howard University",
172,"African Studies Center Newsletter",1970,,"East Lansing","Michigan","Michigan State University, African Studies Center","Michigan State University African Studies Center (East Lansing, MI) | African-American studies",
174,"The African Times",1989,,"Los Angeles","California","Anyiam, Chinyere Charles","Travel | Business | Africa",
175,"The African Times",1948,1951,"New York","New York","Universal African Nationalist Movement, Inc.","Sports | Music | Africa",
176,"The African Voice",1972,,"Camden","New Jersey","Black Cooperative Association","Rutgers University (Camden, NJ) | Politics | Community newsletter | Africa",
177,"African Voices",1993,1996,"New York","New York","African Voices Communications, Inc.","Short stories | Poetry | Film reviews",
178,"African Women Rising",1984,,"Washington","District of Columbia","International Council of African Women","Women | Africa",
179,"The African World",1971,1975,"Washington","District of Columbia","Student Organization for Black Unity","Pan-Africanism | Education | Civil rights",
180,"African World: The Forum of People of African Descent.",1993,,"Amherst","Massachusetts","African World, Inc.","Politics | International relations | Food | Economics | Culture | Business | Art | Africa",
182,"Africana",1984,,"College Park","Maryland","American Studies Program","University of Maryland (College Park, MD) | Colleges and universities—Students",
183,"African/African-American Faculty and Staff Association Newsletter",1993,,"Philadelphia","Pennsylvania","Temple University","Temple University (Philadelphia, PA) | Colleges and universities—Faculty and staff",
184,"African-American Archaeology",1990,,"Washington","District of Columbia","Institute of Minnesota Archaeology","History | Archaeology",
185,"The African-American Connection",1994,,"Tacoma","Washington","Know Thyself African Book Center","Books and reading",
186,"The African-American Family History Association Newsletter",1979,,"Atlanta","Georgia","African-American Family History Association, Inc.","History | Genealogy",
187,"African-American Historical and Cultural Society of San Francisco Newsletter",1971,1973,"San Francisco","California","African-American Historical and Cultural Society of San Francisco","History",
188,"African-American History Magazine",1995,1995,"Leesburg","Virginia","Jenkins, Timothy L.","History",
189,"The African-American Journal",1993,1994,"Philadelphia","Pennsylvania","African American Journal","Statistics | Politics | History | Education",
191,"African-American Parent Network News",1991,1992,"Cleveland","Ohio","African-American Family Congress","Parenting | Education | Child care",
192,"African-American Reader Newspaper",1992,1993,"Chicago","Illinois","Henderson, Sam III","Religion",
193,"African-American Reading Group Newsletter",1994,,"New York","New York","Our World Books","Books and reading",
194,"African-American Research Perspectives",1994,,"Ann Arbor","Michigan","Program for Research on Black Americans, African American Mental Health Research Center","Research | Mental health | Health",
195,"The African-American Scholar",1977,,"Washington","District of Columbia","African-American Scholars Council, Inc.","Research | African-American studies",
196,"African-American Shopper",1992,1992,"Chicago","Illinois","Henderson, Sam III","Community newsletter | Advertising",
197,"The African-American Traveler",1987,,"New York","New York","Cousins, Linda","Travel",
200,"African-American Voice",1995,,"Milwaukee","Wisconsin","Fikes, Anthony M.","Economics | Business",
201,"The African-Americanist",1992,,"Columbia","Missouri","University of Missouri-Columbia, Black Studies Program","African-American studies",
202,"The Africanist Newsletter",1977,,"Washington","District of Columbia","Howard University, African Studies Student Association","Literature | Howard University | Art | African Studies",
204,"African-USA",1992,,"Fort Lauderdale","Florida","African-USA Media, Inc.","Travel | Health | Entertainment | Caribbean area | Business | Africa",
205,"Africa’s Children",1993,,"Atlanta","Georgia","T.O.P.","Culture | Art",
206,"Africo-American Presbyterian",1879,1939,"Charlotte","North Carolina","Africo-American Presbyterian Publishing Co.","Religion | Presbyterian Church",
207,"Afrika Mixtra",1992,,"New York","New York","Radio Afrika Foundation","Africans in the United States",
208,"Afrika Must Unite: A Journal of Current Afrikan Affairs.",1971,,"Chicago","Illinois","Arusha-Konakri Institute","Politics | Food | Africa",
209,"The Afrikan",1995,,"Jamaica","New York","Egwuonwu, Ani Dike","Politics | Culture | Art",
210,"Afrikan Awakener: an Organ of the Pan Afrikan People’s Organization",1975,1976,"San Francisco","California","Pan Afrikan People’s Organization","Politics | Poetry | Pan-Africanism | Black nationalism",
211,"Afrikan Perspective",1981,1987,"Berkeley","California","University of California, Berkeley, Associated Students","Politics | History | Africa",
212,"Afrikan Student Literary Magazine",1993,,"Berkeley","California","University of California, Berkeley","Short stories | Poetry | Photography | Essays",
213,"Afrikanews",1975,,"Baton Rouge","Louisiana","Afrikan News Service","Poetry | Essays",
216,"Afro AM",1983,1987,"Los Angeles","California","California Afro-American Museum","Museums | Collectors and collecting | Art",
218,"The Afro Christian Review",1914,,"Norfolk","Virginia","Afro-Christian Quarterly Review Publishing Company","Religion | Afro-Christian Church",
219,"Afro Chronicles",1991,,"Boston","Massachusetts","Northeastern University, Department of African-American Studies","African-American studies",
221,"Afro Notes: A Newsletter from the Afro-American Studies & Research Program",1983,,"Urbana","Illinois","University of Illinois","Colleges and universities—Students",
222,"Afro Scholar Newsletter",1980,,"Urbana","Illinois","Northeastern University, Department of African-American Studies","Essays | Bibliography",
223,"Afro Spectra Newsmagazine",1994,,"Chicago","Illinois","First World Creations","Women",
225,"Afro-Am",1982,,"Los Angeles","California","California Museum of African-American History and Culture","Museums | History | Culture",
227,"Afro-America: The Magazine for Americans of African Ancestry",1966,1967,"Brooklyn","New York","Panaf Publishing Association","Short stories | Poetry | History | Education | Civil rights",
231,"Afro-American Acquisitions: Diaspora List",1980,,"Urbana","Illinois","University of Illinois at Urbana-Champaign, Affo-Americana Unit of the Library","Library collections | Bibliography",
235,"Afro-American Affairs",1970,1978,"Athens","Ohio","Ohio University, Black Students at","Entertainment | Culture | Colleges and universities—Students | Arts",
236,"Afro-American Art History Newsletter",1987,,"New York","New York","Fire College Black Studies Consortium (New York, NY)","Exhibits | Art history | Art",
237,"The Afro-American Budget",1889,,"Evanston","Illinois","Woods, J.S.","Southern States | Religion | Politics | Poetry | Labor | Education | African Methodist Episcopal Church | Africa",
240,"The Afro-American Consumer",1969,1970,"New York","New York","Von Blaine Enterprises","Consumers | Business",
242,"Afro-American Cultural Association at the Library of Congress Bulletin",1983,,"Washington","District of Columbia","Afro-American Cultural Association at the Library of Congress","Libraries | History | Culture | Art",
243,"Afro-American Festival of the Arts Magazine",1966,,"Newark","New Jersey","Iman, Yusef","Short stories | Poetry | Essays",
245,"Afro-American Genealogical and Historical Society of Chicago Newsletter",1981,,"Chicago","Illinois","Afro-American Genealogical and Historical Society of Chicago","Genealogy",
246,"The Afro-American Journal",1973,1977,"Indianapolis","Indiana","Martin Center, Inc","Poetry | History | Health | Art | Africa",
247,"Afro-American Journal of Philosophy",1982,1983,"New York","New York","Afro-American Philosophy Association cl o Dasein Literary Society","Philosophy",
248,"Afro-American Journal",1967,,"Seattle","Washington","Loin and Taft Gross","Civil rights | Black power",
249,"The Afro-American Labor Sentinel",1896,,"Birmingham","Alabama","Afro-American Labor and Protective Association","Labor | Business",
253,"Afro-American Magazine",1972,,"Baltimore","Maryland","Afro-American Company","Newspaper supplement",
254,"Afro-American Music Collection Newsletter",1990,,"Ann Arbor","Michigan","University of Michigan, School of Music","University of Michigan (Ann Arbor, MI) | Music collections | Music | Colleges and universities—Students",
255,"Afroamerican Quarterly: A Third World Literary Journal",1973,1976,"Syracuse","New York","Syracuse University, Afro-American Studies Department","Short stories | Poetry | Literature | African-American studies",
256,"Afro-American Review",1968,,"Washington","District of Columbia","Howard University (Washington, DC)","Short stories | Poetry | Howard University | Art",
260,"Afro-American Studies, U.C. Berkeley: Departmental Newsletter",1984,,"Berkeley","California","University of California, Berkeley, Afro-American Studies","Colleges and universities | African-American studies",
261,"Afro-American Studies",1989,,"Washington","District of Columbia","Smithsonian Institution Resident Associate Program","Smithsonian Institution Resident Associate Program | Museums | African-American studies",
263,"Afro-American Studies Program",1994,,"College Park","Maryland","American Studies Program","Colleges and universities | African-American studies",
265,"Afro-American Studies Program News",1988,,"Philadelphia","Pennsylvania","University of Pennsylvania, Afro-American Studies Program","Education (Higher) | Colleges and universities | African-American studies",
266,"Afro-American Studies Department Newsletter",1976,,"Madison","Wisconsin","American Studies Department","Poetry | Employment | African-American studies",
267,"The Afro-American Voter",1969,,"Washington","District of Columbia","National Council of Concerned Afro-American Voters (NCCAV)","Voting | Republican Party | Politics | Conservatism",
268,"The Afro-American Woman Magazine",1969,,"New York","New York","Afro-American Woman Publishing Co.","Women | Poetry | Music reviews | Film reviews | Fashion | Cookery | Beauty",
269,"The AfroAmericanist Newsletter",1986,,"Urbana","Illinois","University of Illinois at Urbana-Champaign, Afro-American Studies and Research Program","Education (Higher) | African-American studies",
272,"Afro-Americans in New York Life and History",1977,,"Buffalo","New York","Afro-American Historical Association of the Niagara Frontier","New York—History | History",
273,"The Afrocentric Scholar",1992,,"Columbus","Ohio","National Council for Black Studies","Education | Afrocentrism | African-American studies",
274,"The Afro-Christian Quarterly Review",1914,,"Newport News","Virginia","Afro-Christian Quarterly Review Publishing Company","Social services | Science | Religion | Arts",
276,"Afro-Colorado Magazine",1981,,"Denver","Colorado","Hawkins, R. Mason","Politics | Poetry | Music | Health",
277,"Afro-Denver",1976,1979,"Denver","Colorado","Hawkins, R. Mason","Politics | Poetry | Music | Health",
278,"Afro-Hispanic Review",1982,,"Urbana","Illinois","Afro-Hispanic Institute","Translations | Hispanics | Creative writing",
281,"Afrotech Environmentalist",1993,,"Logan","Utah","Global Environmental Forum","Environment | Ecology",
282,"Afro-Unique",1974,1975,"Denver","Colorado","Lasting Publishing Company, Inc.","Politics",
283,"Afro-World Briefs",1985,1986,"Seattle","Washington","University of Washington-Seattle, Afro-American Studies Program","History | Education (Higher) | Colleges and universities—Students | Afro-American Studies Program, University of Washington-Seattle",
284,"The After School Journal",1990,,"New York","New York","Greene Ave. Cultural Center, Inc.","Education (Secondary) | Education (Primary)",
285,"The Ag Gazette",1976,,"Jefferson City","Missouri","Lincoln University (Jefferson City, MO)","Lincoln University (Jefferson City, MO) | Colleges and universities—Students | Agriculture",
286,"Against Racism",1983,1989,"Brooklyn","New York","Anti-racism Literature Project","Racism | Race relations",
287,"Against the Grain",1996,,"Manassas","Virginia","Woodard, K.","Sewing",
288,"Agenda: The Alternative Magazine of Critical Issues.",1990,,"Washington","District of Columbia","Neighborhood Policy Institute & The National Center for Neighborhood Enterprise","Sociology | Law and legislation | Economics | Community development",
289,"The Agenda: the new phat blax information terminal.",1991,,"Chicago","Illinois","Strong Island Productions","Urban life | Politics | Poetry | Music | Entertainment",
290,"The Agenda",1994,,"Baton Rouge","Louisiana","Southern University, Board of Supervisors","Southern University Board of Supervisors (Baton Rouge, LA) | Colleges and universities—Faculty and staff",
291,"Agricultural, Mechanical and Normal College Informer.",1940,,"Pine Bluff","Arkansas","Agricultural, Mechanical and Normal College","Colleges and universities—Students | Agricultural, Mechanical and Normal College (Pine Bluff, AR)",
292,"Agricultural News",1928,,"Hampton","Virginia","Hampton Institute, Class in Agricultural Newswriting","Education | Class in Agricultural Newswriting, Hampton Institute (Hampton, VA) | Agriculture | Agricultural newswriting",
293,"Agricultural News Supplement",1934,,"Hampton","Virginia","Hampton Institute, Class in Agricultural Newswriting","Journalism | Colleges and universities—Students | Agriculture",
294,"AHBAI: American Health and Beauty Aids Institute.",1982,,"Chicago","Illinois","Jones, Lafayette","Cosmetology",
295,"AHLS Book List",1992,,"Washington","District of Columbia","African Heritage Literature Society","Bibliography",
297,"AIDP News Update",1977,,"Baton Rouge","Louisiana","Southern University and A & M College","Southern University and A & M College (Baton Rouge, LA) | Science | Engineering | Colleges and universities—Students | Business",
298,"AIM Quarterly",1974,,"Chicago","Illinois","Apilado, Myron","Social conditions | Short stories | Politics",
300,"The Ajax",1916,,"St. Louis","Missouri","Ajax Publishing Co.","Short stories | Poetry | Essays",
301,"AKD Quarterly",1931,1955,"Omaha","Nebraska","Alpha Kappa Delta","Fraternities and sororities",
